SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1279.90,1298.95,1279.90,1295.30,1292.50,1275.20,354,4599,5949678.00,
500003,AEGIS LOGIS ,A ,Q,270.00,284.70,268.75,282.00,282.00,270.60,458,15888,4427362.00,
500008,AMAR RAJA BA,A ,Q,801.85,806.50,792.10,799.85,802.00,804.35,453,14625,11704309.00,
500009,A.SARABHAI  ,X ,Q,11.10,12.34,11.01,12.17,12.17,11.22,88,46647,560792.00,
500010,HDFC        ,A ,Q,1823.00,1838.30,1820.90,1829.60,1826.90,1822.70,997,22529,41264598.00,
500012,ANDHRA PETRO,X ,Q,60.65,63.90,60.65,62.70,62.70,59.75,629,194360,12227791.00,
500013,ANSAL INFRAS,B ,Q,21.50,21.50,20.70,21.00,20.85,20.85,226,56581,1187061.00,
500014,APPLE FINANC,XT,Q,2.75,2.75,2.75,2.75,2.75,2.66,2,290,797.00,
500016,ARUNA HOTEL ,XT,Q,16.71,16.71,16.71,16.71,16.71,15.92,5,1300,21723.00,
500020,BOM DYEING  ,A ,Q,252.80,253.90,247.20,249.50,249.50,251.40,3408,435239,109246639.00,
500023,ASIANHOTNR  ,T ,Q,271.50,290.95,271.50,289.95,289.95,285.20,5,51,14255.00,
500024,ASSAMCO     ,B ,Q,4.74,4.95,4.71,4.79,4.90,4.73,77,130515,621321.00,
500027,ATUL LTD.   ,A ,Q,2800.00,2800.00,2727.00,2728.20,2728.20,2790.75,75,252,693023.00,
500028,ATV PROJECTS,XT,Q,9.50,10.20,9.50,9.73,9.65,9.90,11,1078,10413.00,
500029,AUTOLITE(I) ,B ,Q,72.40,72.95,71.20,72.15,72.15,71.70,83,7976,576325.00,
500031,BAJAJ ELECT.,A ,Q,614.00,630.00,602.50,605.90,605.90,617.90,1624,70596,43593604.00,
500032,BAJAJHIND   ,A ,Q,9.71,9.71,9.45,9.62,9.62,9.53,510,395377,3768838.00,
500033,FORCE MOTR  ,B ,Q,2900.00,2918.00,2860.00,2893.60,2893.60,2919.95,1827,17544,50743858.00,
500034,BAJFINANCE  ,A ,Q,1917.00,1940.00,1909.00,1933.00,1933.00,1914.20,1790,36753,70964848.00,
500038,BALRAM.CHINI,A ,Q,75.50,77.30,75.40,76.70,76.70,76.20,1601,426433,32547863.00,
500039,BANCO PROD. ,B ,Q,224.25,232.95,221.75,227.25,227.25,222.50,149,4920,1114781.00,
500040,CENTURY TEXT,A ,Q,1210.00,1224.00,1191.70,1214.10,1214.10,1200.65,722,25530,30860180.00,
500041,BANNARI AMAN,B ,Q,1833.90,1840.40,1805.00,1834.05,1835.00,1835.00,19,1076,1972866.00,
500042,BASF INDIA  ,B ,Q,2015.00,2034.05,2005.30,2025.20,2023.50,2027.25,115,363,733420.00,
500043,BATA INDIA  ,A ,Q,770.00,775.00,763.95,772.85,772.85,766.45,974,44977,34664444.00,
500048,BEML LTD    ,A ,Q,1120.00,1138.15,1118.00,1131.05,1127.00,1117.30,1150,38524,43425864.00,
500049,BHARAT ELECT,A ,Q,145.35,146.45,143.50,144.55,144.55,145.35,3403,1234007,177435248.00,
500052,BHANSALI ENG,B ,Q,204.40,204.40,191.45,198.05,198.05,201.35,3574,374840,74264335.00,
500055,BHUSH STEEL ,B ,Q,45.20,45.35,44.20,44.80,44.80,45.10,1024,218921,9779496.00,
500058,BIHAR SPONGE,XT,Q,1.78,1.86,1.70,1.71,1.71,1.78,8,1980,3487.00,
500059,BINANI IND. ,B ,Q,106.50,109.85,102.60,105.40,105.40,101.55,748,66483,7075859.00,
500060,BIRLACABLE  ,B ,Q,71.65,77.30,70.75,76.90,76.90,70.30,1264,85489,6453720.00,
500067,BLUE STAR   ,A ,Q,800.00,802.80,785.40,792.55,790.80,797.20,311,4080,3250856.00,
500068,DISA INDIA  ,X ,Q,6238.00,6238.00,5986.00,5990.40,5990.00,6007.00,15,73,442415.00,
500069,BNK CAPITAL ,X ,Q,102.85,103.00,99.00,100.30,102.50,104.45,48,6161,625787.00,
500074,BPL LTD.    ,B ,Q,81.25,82.55,80.20,81.40,81.40,81.40,924,104407,8518817.00,
500078,OAL         ,X ,Q,912.00,920.00,880.00,916.40,911.00,910.00,39,1896,1722852.00,
500083,CENTURY EXT ,B ,Q,5.50,5.75,5.35,5.56,5.56,5.50,19,8125,44306.00,
500084,CESC LTD.   ,A ,Q,998.85,1004.30,988.80,1001.65,996.30,999.40,466,15197,15171742.00,
500085,CHAMBAL FERT,A ,Q,164.65,166.55,163.00,165.55,164.25,164.35,564,57669,9494117.00,
500086,EXIDE IND.  ,A ,Q,237.80,239.40,234.95,238.95,238.95,236.05,1279,93091,22133143.00,
500087,CIPLA LTD.  ,A ,Q,561.10,570.15,557.70,559.10,559.10,561.10,1272,86141,48492015.00,
